SubmitTime,UserID,Used Memory
1151717313,12,79328
1147431628,13,578604
1151917426,2,69268
1151730016,12,20724
1152729440,2,620948
1148621776,19,598896
1146457898,19,588360
1151647254,12,79272
1150851228,13,663180
1149484353,19,613356
1151304973,8,592044
1149408956,19,624868
1150798200,13,53520
1150573604,13,600036
1146449872,19,588304
1151658110,2,55928
1149509255,13,595600
1149886893,13,602452
1153749526,12,90148
1148066960,13,133320
1151013960,8,584040
1141941391,17,0
1154418854,12,76508
1153017089,12,85832
1154026592,12,617484
1147485240,13,582452
1147954142,13,586400
1153741842,9,71112
1151436031,12,25672
1148139077,21,618340
1145371487,10,591524
1152106901,12,25676
1151656489,2,60888
1153984528,12,81548
1147441691,13,60840
1146723581,8,68644
1151438460,12,25688
1151710237,12,85380
1152665673,12,1772148
1149580873,13,598368
1148408846,13,581040
1146446594,19,588020
1154519654,12,581936
1152172323,12,595040
1153733025,9,71188
1148079929,13,89644
1147461034,13,608908
1151791890,12,20728
1151618069,12,20736
1150816220,13,63356
1152009430,12,593732
1151648901,2,55544
1149703594,13,598064
1145936694,13,25660
1150928159,13,0
1153006681,12,601596
1152670172,12,594764
1153175120,12,591492
1150935150,13,0
1153740817,9,67244
1149773553,13,1592336
1150934850,13,0
1153107862,12,599060
1153735367,12,80232
1153726375,12,74768
1152648812,12,1761052
1149673265,19,614152
1136278069,6,951192
1149094161,21,586440
1151303335,13,72756
1152191047,12,1640764
1150827402,13,602664
1151856982,12,76576
1147297566,8,569684
1150051412,13,72256
1150829228,13,600536
1149886345,13,591704
1144505462,9,584440
1141524113,8,160128
1148615103,13,80132
1152943705,12,601420
1151309967,13,600244
1151303869,13,580384
1149273327,13,636824
1153741364,12,74312
1153721181,2,56012
1145933986,13,79304
1150966687,13,0
1151442337,12,593480
1150504469,21,606480
1154356659,12,593768
1150042688,13,72284
1145905674,13,584996
1149587217,19,616044
1148878171,19,598928
1151653660,12,71272
1140800256,8,569300
1150606030,8,595868
1147790028,13,574092
1152456265,12,0
1149490520,19,617800
1139389732,8,555032
1152611649,12,594988
1151791585,2,16412
1150078330,13,72216
1151049162,8,581952
1145261004,19,592056
1145627159,13,600468
1151653630,2,20296
1153828485,12,79780
1139409927,1,0
1152861755,12,595052
1151614492,12,20724
1151653631,9,20300
1150984830,13,591812
1140649875,8,568844
1151602499,9,581312
1147961593,13,1556336
1148884603,19,598852
1144598368,2,571608
1149910878,13,617096
1151740511,9,64144
1136299119,6,59896
1148062247,13,84196
1147673162,13,76952
1146444654,19,588088
1145372092,19,585060
1151721306,12,74996
1152944183,12,593608
1152670536,12,592072
1148230985,19,613204
1152180956,12,77572
1148882498,19,600876
1149652110,19,63856
1151216412,13,1601996
1154354259,12,593564
1152543353,12,0
1152171718,12,120800
1147352573,13,612472
1147621977,8,583956
1152042742,12,612144
1147299539,13,584160
1146667863,8,64928
