SubmitTime,UserID,Used Memory,RunTime
1149512113,13,583936,40195
1150854088,13,81668,4215
1146445815,19,598844,1729
1152921256,12,599740,39528
1136297733,6,59880,1850
1151915593,2,60916,1853
1147985174,19,0,1
1151652011,2,20308,56
1147888885,13,82676,3180
1150179189,13,0,1
1154354622,12,602436,31164
1152578970,12,107740,1046
1148015861,19,617132,36911
1146416349,19,588840,2111
1147467762,13,590084,50801
1145218829,19,521140,1524
1146415230,19,588064,3623
1148457573,19,654136,38581
1150116582,13,491628,957
1139391868,8,559932,1156
1151658481,12,596900,31965
1145898258,13,602464,23827
1147299552,13,594724,20534
1147885405,8,77516,4914
1146580828,8,572132,30117
1147974363,13,0,2
1149864097,13,0,2
1149890162,13,597104,47125
1139386011,8,552140,2098
1152172325,12,601672,32985
1151916026,2,60924,1852
1151914033,2,60744,403
1151752714,12,79252,71
1151724758,12,68920,70
1151694902,12,20712,79
1151728815,12,67352,68
1149515237,19,601588,1419
1147946421,19,315236,2833
1149484409,19,615064,24035
1147946823,13,0,1
1146445592,19,588128,1656
1151267580,13,1540932,47173
1146457847,19,588132,1487
1150441576,21,597204,11441
1150734713,13,43904,3607
1147299038,13,570748,24250
1149490517,19,615208,18220
1151650835,12,79340,62
1151710241,12,66804,75
1151752056,12,25664,60
1151652370,2,55956,61
1148615678,19,1367268,30647
1154582689,12,1642896,36906
1151620518,12,66684,90
1147432152,8,572228,22547
1151722445,12,79304,70
1140073193,8,571340,23374
1148112294,13,582796,21613
1156343028,2,0,0
1150485519,21,613972,23880
1151650118,9,20268,52
1148060276,13,90100,2034
1146222859,19,599600,28046
1153812717,12,595040,40056
1149064148,21,599240,6416
1148657599,21,598252,5971
1146182840,8,64832,3685
1154420458,12,1595228,24203
1144599344,9,572272,29210
1151755338,12,25660,73
1151736382,12,69364,62
1151708403,12,20740,81
1148893421,19,600692,6258
1151625765,12,75736,70
1142819035,9,577412,44992
1136296260,6,57088,1854
1153747498,12,80248,431
1152104294,12,135024,2214
1149507954,8,592568,52593
1141522062,8,575704,31231
1150923954,13,0,2
1145898258,13,587324,28343
1147953113,13,0,2
1151302052,8,587668,48716
1145180324,13,583008,23169
1145930294,13,583160,29833
1151721733,12,25696,70
1147716493,13,591792,39899
1149454377,13,604324,39370
1151702274,12,606216,42725
1153736351,12,80264,445
1150734707,8,43928,3608
1146181424,13,68900,47
1151653208,2,20288,53
1149791989,13,1590076,37974
1150821840,13,597816,50792
1151438036,12,25680,57
1139455430,8,65856,476
1148547582,19,81668,5599
1151614800,12,25652,67
1151917429,12,79232,76
1143753296,8,556272,11515
1152182764,12,596080,31187
1148946089,19,598772,6255
1149659805,19,63860,189
1152338721,12,1644916,25692
1151304572,13,1584968,30104
1157712170,15,1374144,33267
1151399867,12,599224,44231
1148343007,21,1320592,28077
1140878146,8,568272,23847
1147441691,13,71704,63
1151500255,12,613680,33330
1151654083,12,68892,56
1151743966,9,20304,67
1152921977,12,602292,44921
1147954142,13,76696,2033
1151304995,13,74996,963
1151734963,12,25684,59
1152931516,12,618456,42015
1154783126,12,580280,173340
1139548260,8,572824,61264
1144395480,2,631128,30030
1151560303,9,579680,37581
1149977028,13,607720,44915
1148129854,21,618076,35529
1148338541,21,1372548,29131
1153724749,2,55964,57
1149768074,19,616388,26091
1146448666,19,588044,1877
1149277421,13,61808,1855
1151609370,12,80396,964
1149581416,13,593004,30772
1156778023,15,1572308,25716
1141953786,8,566564,23790
1145935073,13,598424,23799
1147790030,13,569552,21664
1153723405,12,80240,435
1150478163,21,595288,16543
1137631741,6,1572104,4525
1150575080,13,597000,43096
1149980573,13,610984,47365
1152551620,12,0,2
1149909101,13,1597540,69780
1149373078,19,620264,18407
1151645346,12,25676,54
1146582395,13,575584,32163
1149865260,19,98896,27303
1150479780,21,597280,22216
1145371792,19,600068,49134
1148835705,19,598452,6100
1146182846,8,64868,3684
1146203471,19,597540,28222
1151699037,12,25652,59
1148021893,19,618080,36193
1151646837,9,56028,57
1140005981,8,568276,32067
1153147732,12,82032,970
1151303859,13,72692,1852
1151569551,9,71104,76
1152183188,12,595288,31932
1152048973,12,598364,44008
1150829228,13,600536,43773
1151742498,12,25672,63
1154026594,12,603688,43226
1148023353,19,633496,35822
1149453413,13,600976,41291
1151648396,12,68896,58
1145178056,13,581052,25202
1151652360,12,25652,49
1151399853,2,623764,48178
1146753476,10,1411888,40737
1151648868,12,25660,61
1151644989,12,55468,103
1151655230,9,20264,65
1154511620,12,85872,63
1139336696,8,559628,3316
1145104603,13,570100,29993
1145372099,19,587360,66686
1148198207,19,617700,33344
1153738572,9,67272,459
1152667446,12,86428,1916
1140646063,8,569780,41467
1149273327,13,599904,45068
1150558118,13,598588,42276
1151698293,12,25640,68
1152106548,12,90128,167
1151629727,12,25656,55
1153730298,12,74364,241
1152794378,12,596112,39463
1145511998,19,587376,64571
1148064254,13,95112,9063
1149333861,13,591060,173516
1145337499,19,586568,50997
1149394989,19,618468,22095
1145883340,13,72812,1852
1152445028,12,0,2
1140727528,8,569716,36611
1151660736,12,71880,1851
1152637502,12,1780236,33796
1151613114,12,70744,95
1149077541,19,582400,6967
1153742814,12,74816,244
1145723891,13,579716,23336
1145178350,13,569008,27368
1151745912,12,25696,56
1152034708,12,99488,296
1147959639,13,583320,18331
1140267683,1,278284,986
1144505088,9,573120,36001
1149582978,13,583780,46542
1146423250,19,1091864,388
1152832714,12,596592,40489
1143847733,8,552700,85178
1148552763,19,628064,35340
1151649278,12,85196,54
1151751629,12,79344,74
1154944669,9,278820,18109
1145298833,19,592984,59223
1152570257,12,173964,1276
1144601522,2,571564,32925
1148047838,13,582552,17664
1146638378,19,1678872,71856
1150797377,13,56068,3607
1146182853,13,61956,3684
1147949602,13,74568,81
1147399528,13,16444,104
1153126544,12,68916,93
1151815440,12,71644,971
1136977828,0,648108,46833
1151741623,12,25696,75
1146180643,13,636004,21242
1151648429,9,20304,59
1146450708,19,588236,1575
1149359274,19,620608,19125
1150932080,13,0,2
1148342715,19,82748,361
1149493394,19,617884,22584
1151652015,2,20304,61
1145178060,8,571320,26877
1151624151,12,20724,75
1149322212,13,608176,38050
1144597960,2,63416,1853
1153730295,12,74320,247
1137581616,6,652836,51727
1151791885,9,58016,84
1151620149,12,79280,80
1148884601,19,598164,6186
1136493415,6,935676,550
1145298551,19,601168,48634
1153030661,12,596408,41706
1149658278,19,63896,188
1148556100,13,70392,1849
1147991861,13,0,2
1150970744,8,579964,36747
1154030953,12,592728,41760
1149744327,19,616084,38364
1154329685,2,581072,39521
1151917436,12,86856,837
1139401740,8,559836,2152
1146434836,19,163224,1103
1150797598,13,53588,3608
1151709416,12,1549028,34771
1152686314,12,597988,41201
1153984955,12,1212592,13159
1149767662,21,634888,24161
1148835703,19,598772,5828
1152104291,12,121064,2418
1151652348,12,25692,53
1151857872,12,71624,1853
1148657602,21,598816,6177
1153739111,12,80248,445
1151946988,12,25688,76
1152344260,12,76732,1851
1151652367,2,20292,61
1151725237,12,79236,60
1151122967,13,592444,31380
1151664305,12,85644,89
1146446889,19,588288,1568
1147965029,13,586324,16073
1151304500,13,580148,44139
1151729530,12,97316,189
1153722914,2,67308,435
1151751208,12,79248,68
1145592693,19,607732,51577
1145552484,10,584624,62273
1145723299,8,571296,28905
1152931515,12,610304,42239
1148653510,19,598248,6667
1153741844,9,71160,62
1149892175,13,598744,46675
1151625753,12,20700,77
1150502441,21,614240,23791
1148118336,21,616432,35785
1145878331,13,591564,28274
1144416801,12,585104,30220
1146419842,19,588104,1690
1147441983,13,63312,72
1152031373,12,79268,85
