SubmitTime,Used Memory,RunTime,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3
1145178352,570164,30120,0.0,0.0,0.0
1151917859,75640,681,0.0,1.0,0.0
1151435130,25696,50,0.0,1.0,0.0
1147409505,76040,952,0.0,1.0,0.0
1145178595,569724,24690,1.0,0.0,0.0
1150849636,1559140,36581,0.0,1.0,0.0
1145219176,591796,62048,0.0,0.0,0.0
1152084866,600092,34680,0.0,1.0,0.0
1150451381,591424,40965,0.0,1.0,0.0
1149515242,612108,8393,0.0,1.0,0.0
1151647710,20264,53,0.0,0.0,0.0
1149538885,601644,34418,0.0,1.0,0.0
1149513676,650324,33220,0.0,1.0,0.0
1145559977,587120,59617,1.0,0.0,0.0
1146418525,588040,1912,0.0,1.0,0.0
1149624835,584684,52406,1.0,0.0,0.0
1152447755,0,2,0.0,1.0,0.0
1148112914,589864,21397,0.0,1.0,0.0
1151556815,594724,29925,0.0,1.0,0.0
1136399232,649480,53169,1.0,0.0,0.0
1136287636,59904,1852,1.0,0.0,0.0
1145945243,79312,110,0.0,1.0,0.0
1153807759,606036,37813,0.0,1.0,0.0
1151622010,113948,545,0.0,1.0,0.0
1151628620,57760,72,0.0,1.0,0.0
1150084722,72228,165,0.0,1.0,0.0
1152182277,600988,33740,0.0,1.0,0.0
1148893413,598340,6413,0.0,1.0,0.0
1149509072,581040,41877,0.0,0.0,0.0
1151312751,602716,44378,0.0,1.0,0.0
1149706445,619460,26432,0.0,1.0,0.0
1153232614,0,2,0.0,1.0,0.0
1145721785,569020,26974,1.0,0.0,0.0
1152611653,582920,173034,0.0,0.0,0.0
1151736373,79268,66,0.0,1.0,0.0
1149566714,612980,22737,0.0,1.0,0.0
1154420456,1572588,34642,0.0,1.0,0.0
1151916535,64180,73,0.0,0.0,0.0
1147716486,590428,41608,0.0,1.0,0.0
1145178350,569008,27368,0.0,0.0,0.0
1136478082,927600,437,1.0,0.0,0.0
1148351190,1342904,29030,0.0,1.0,0.0
1149708444,629604,26127,0.0,1.0,0.0
1151651223,20304,58,0.0,0.0,0.0
1145882114,571548,33759,0.0,0.0,0.0
1154589109,594276,173251,0.0,1.0,0.0
1151659939,596004,32731,0.0,1.0,0.0
1148882697,598672,6648,0.0,1.0,0.0
1146447587,588364,1723,0.0,1.0,0.0
1151575220,595200,34718,0.0,1.0,0.0
1148005955,0,1,0.0,1.0,0.0
1147401462,583964,18599,0.0,1.0,0.0
1145904493,76864,960,0.0,1.0,0.0
1147676063,596812,38905,0.0,1.0,0.0
1145876955,76752,1851,0.0,1.0,0.0
1150100038,98904,43694,0.0,1.0,0.0
1146417688,588112,2797,0.0,1.0,0.0
1152090599,598204,32477,0.0,1.0,0.0
1145336903,586448,64816,0.0,0.0,0.0
1151707676,77564,156,0.0,1.0,0.0
1147299548,586456,18929,0.0,1.0,0.0
1153721183,71140,245,0.0,0.0,0.0
