SubmitTime,Used Memory,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3,RunTime
1151701666,79284,0.0,1.0,0.0,54
1144505466,568720,0.0,0.0,0.0,28399
1151814648,63892,0.0,0.0,0.0,1854
1153750820,80224,0.0,1.0,0.0,243
1145105028,572116,1.0,0.0,0.0,24851
1147300902,582828,0.0,1.0,0.0,21931
1151617413,20752,0.0,1.0,0.0,87
1151727155,25660,0.0,1.0,0.0,66
1161852961,290176,0.0,1.0,0.0,20732
1145905680,581808,0.0,1.0,0.0,25686
1146449872,588304,0.0,1.0,0.0,1611
1153739120,72452,0.0,1.0,0.0,69
1136977626,0,0.0,0.0,0.0,1
1147897878,77776,0.0,1.0,0.0,2526
1150100038,98904,0.0,1.0,0.0,43694
1149600270,581980,1.0,0.0,0.0,38938
1139422201,57744,1.0,0.0,0.0,1341
1149320958,81720,0.0,1.0,0.0,3332
1146446240,588132,0.0,1.0,0.0,1501
1145872263,583160,0.0,1.0,0.0,23961
1149699663,594644,0.0,1.0,0.0,33146
1153037235,25680,0.0,1.0,0.0,71
1152042277,600280,0.0,1.0,0.0,43338
1151909746,64868,1.0,0.0,0.0,1857
1151920198,25656,0.0,1.0,0.0,55
1151624148,20740,0.0,1.0,0.0,79
1145723291,596452,0.0,1.0,0.0,23051
1147679377,60332,0.0,0.0,0.0,169
1151711726,79200,0.0,1.0,0.0,80
1152143952,89684,0.0,1.0,0.0,190
1139401732,551520,1.0,0.0,0.0,2155
1153722373,20320,0.0,0.0,0.0,52
1151656477,64808,1.0,0.0,0.0,1854
1147449350,572632,1.0,0.0,0.0,23140
1145591537,606108,0.0,1.0,0.0,45923
1144598374,569820,0.0,0.0,0.0,30949
1153224566,599072,0.0,1.0,0.0,46600
1144598788,61976,0.0,0.0,0.0,1850
1148074964,1185784,0.0,1.0,0.0,32894
1145887800,576960,0.0,0.0,0.0,31453
1154944709,290780,0.0,1.0,0.0,20445
1153925426,596732,0.0,1.0,0.0,43813
1151655723,25672,0.0,1.0,0.0,52
1153813249,593312,0.0,1.0,0.0,41917
1146723801,575148,0.0,0.0,0.0,27966
1151617779,85148,0.0,1.0,0.0,91
1149588515,629804,0.0,1.0,0.0,17096
1149863485,0,0.0,1.0,0.0,1
1147950149,1226528,0.0,1.0,0.0,34273
1148940711,598272,0.0,1.0,0.0,5945
1147953121,579984,0.0,1.0,0.0,17175
1145634833,577676,0.0,0.0,0.0,26303
1144418783,573628,1.0,0.0,0.0,29941
1153060063,612784,0.0,1.0,0.0,40071
1152547205,0,0.0,1.0,0.0,2
1151619783,25688,0.0,1.0,0.0,71
1149425605,110884,0.0,1.0,0.0,169
1145532740,582292,0.0,1.0,0.0,24505
1145298416,583160,0.0,0.0,0.0,64190
1148621401,598828,0.0,1.0,0.0,5607
1147967716,578868,0.0,1.0,0.0,14952
1149821964,616408,0.0,1.0,0.0,23218
1136300192,57176,1.0,0.0,0.0,1855
1136285628,59924,1.0,0.0,0.0,1850
1153232614,0,0.0,1.0,0.0,2
1151627181,79304,0.0,1.0,0.0,54
1145374615,601128,1.0,0.0,0.0,64105
1151743462,79248,0.0,1.0,0.0,73
1150869869,0,0.0,1.0,0.0,2
1147984245,0,0.0,1.0,0.0,1
1149121600,598720,0.0,1.0,0.0,6159
1151939199,625156,0.0,1.0,0.0,38465
1151655709,25676,0.0,1.0,0.0,55
1152575725,77572,0.0,1.0,0.0,137
1151724758,68920,0.0,1.0,0.0,81
1146668643,570504,1.0,0.0,0.0,27840
1147498884,583256,1.0,0.0,0.0,51901
1147297574,583120,0.0,1.0,0.0,21059
1147517098,580688,0.0,0.0,0.0,47486
1152793324,598588,0.0,1.0,0.0,40746
1148158601,0,0.0,1.0,0.0,4
1151651231,20300,0.0,0.0,0.0,53
1151313774,601852,0.0,1.0,0.0,34422
1146448658,588272,0.0,1.0,0.0,1928
1147347641,588920,0.0,1.0,0.0,17816
1151711012,68924,0.0,1.0,0.0,58
1151421194,74360,0.0,1.0,0.0,96
1150469693,582220,1.0,0.0,0.0,54815
1150816003,598700,0.0,1.0,0.0,42517
1148100296,81692,0.0,1.0,0.0,5598
1151612815,79280,0.0,1.0,0.0,80
1148882700,598992,0.0,1.0,0.0,6025
1144418525,581364,0.0,1.0,0.0,29454
1146445574,588256,0.0,1.0,0.0,1670
