SubmitTime,UserID,Used Memory,OrigSiteID,GroupID,RunTime
1136290424,U2003S1,59892,clrlcgce02,G3,1850
1136290432,U2003S1,59876,clrlcgce02,G3,1852
1136290432,U2003S1,59932,clrlcgce02,G3,1851
1136290432,U2003S1,57940,clrlcgce02,G3,1851
1136290434,U2003S1,57156,clrlcgce02,G3,1850
1136290435,U2003S1,59644,clrlcgce02,G3,1850
1136290435,U2003S1,57176,clrlcgce02,G3,1849
1136290436,U2003S1,57156,clrlcgce02,G3,1849
1136290436,U2003S1,57144,clrlcgce02,G3,1850
1136290911,U2003S1,59936,clrlcgce02,G3,1853
1136290911,U2003S1,59872,clrlcgce02,G3,1853
1136290911,U2003S1,59888,clrlcgce02,G3,1852
1136290913,U2003S1,57284,clrlcgce02,G3,1851
1136290913,U2003S1,59864,clrlcgce02,G3,1852
1136290915,U2003S1,57200,clrlcgce02,G3,1852
1136290915,U2003S1,57124,clrlcgce02,G3,1850
1136290916,U2003S1,59900,clrlcgce02,G3,1852
1136291324,U2003S1,57156,clrlcgce02,G3,1850
1136291330,U2003S1,59856,clrlcgce02,G3,1850
1136291330,U2003S1,57176,clrlcgce02,G3,1850
1136291330,U2003S1,57132,clrlcgce02,G3,1850
1136291332,U2003S1,57048,clrlcgce02,G3,1850
1136291625,U2003S1,59900,clrlcgce02,G3,1850
1136291633,U2003S1,59868,clrlcgce02,G3,1851
1136291633,U2003S1,59616,clrlcgce02,G3,1852
1136291633,U2003S1,59684,clrlcgce02,G3,1852
1136291635,U2003S1,59884,clrlcgce02,G3,1850
1136291635,U2003S1,57144,clrlcgce02,G3,1849
1136291635,U2003S1,57092,clrlcgce02,G3,1850
1136291926,U2003S1,57076,clrlcgce02,G3,1849
1136291931,U2003S1,57160,clrlcgce02,G3,1850
1136291931,U2003S1,59872,clrlcgce02,G3,1851
1136291931,U2003S1,59928,clrlcgce02,G3,1851
1136291933,U2003S1,57088,clrlcgce02,G3,1851
1136292105,U2003S1,951772,clrlcgce02,G3,442
1136292110,U2003S1,59908,clrlcgce02,G3,1849
1136292111,U2003S1,59872,clrlcgce02,G3,1849
1136292111,U2003S1,59048,clrlcgce02,G3,1849
1136292112,U2003S1,57152,clrlcgce02,G3,1850
1136292165,U2003S1,57144,clrlcgce02,G3,1852
1136292168,U2003S1,57136,clrlcgce02,G3,1850
1136292466,U2003S1,57172,clrlcgce02,G3,1851
1136292471,U2003S1,57096,clrlcgce02,G3,1850
1136292471,U2003S1,57132,clrlcgce02,G3,1850
1136292471,U2003S1,59884,clrlcgce02,G3,1851
1136292472,U2003S1,59848,clrlcgce02,G3,1851
1136292705,U2003S1,59884,clrlcgce02,G3,1851
1136293064,U2003S1,59820,clrlcgce02,G3,1849
1136293064,U2003S1,57160,clrlcgce02,G3,1853
1136293375,U2003S1,57528,clrlcgce02,G3,1851
1136293375,U2003S1,57168,clrlcgce02,G3,1851
1136293375,U2003S1,58448,clrlcgce02,G3,1851
1136293377,U2003S1,58092,clrlcgce02,G3,1852
1136293377,U2003S1,59828,clrlcgce02,G3,1851
1136293381,U2003S1,59880,clrlcgce02,G3,1851
1136293857,U2003S1,59884,clrlcgce02,G3,1850
1136293857,U2003S1,59564,clrlcgce02,G3,1850
1136293857,U2003S1,58332,clrlcgce02,G3,1850
