SubmitTime,Used Memory,AverageCPUTimeUsed,RunTime,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3
1151917431,20284,9,66,0.0,0.0,0.0
1151791159,85396,9,92,0.0,1.0,0.0
1149655456,596144,29620,30356,0.0,1.0,0.0
1150815267,583064,47352,54102,0.0,0.0,0.0
1152798721,602292,41470,41785,0.0,1.0,0.0
1146665942,576668,28996,29666,0.0,0.0,0.0
1147409026,25688,7,68,0.0,1.0,0.0
1151711726,79200,9,80,0.0,1.0,0.0
1149141893,1575248,31636,35932,0.0,1.0,0.0
1145105136,576172,30653,31883,1.0,0.0,0.0
1149469200,611000,18733,19153,0.0,1.0,0.0
1146665953,575624,24242,25275,0.0,0.0,0.0
1148450407,100760,50,6196,0.0,1.0,0.0
1140768879,568668,31301,32208,1.0,0.0,0.0
1151620809,20724,7,86,0.0,1.0,0.0
1145338712,0,3,7,0.0,1.0,0.0
1146413689,588112,1172,1583,0.0,1.0,0.0
1151746793,25668,9,65,0.0,1.0,0.0
1149662836,56288,4,194,0.0,0.0,0.0
1149093947,582380,7163,7291,0.0,0.0,0.0
1145104606,574444,30418,31696,0.0,0.0,0.0
1152995613,1572436,26671,29476,0.0,1.0,0.0
1146374393,1265208,24588,27892,0.0,1.0,0.0
1154540955,126004,39,2066,0.0,1.0,0.0
1147480056,584792,49799,50997,1.0,0.0,0.0
1151647715,20296,9,50,1.0,0.0,0.0
1149490520,617800,23176,23644,0.0,1.0,0.0
1151657638,79284,8,56,0.0,1.0,0.0
1149368283,615196,19031,19479,0.0,1.0,0.0
1151697823,1599940,27936,33882,0.0,1.0,0.0
1137499084,2098276,2331,3595,1.0,0.0,0.0
1152033923,1586800,31304,35519,0.0,1.0,0.0
1139178762,1511648,2259,2646,1.0,0.0,0.0
1146180631,74632,21,3682,0.0,1.0,0.0
1161323737,285208,10009,20564,1.0,0.0,0.0
1139347719,555364,2513,3293,1.0,0.0,0.0
1151492260,1556476,31023,34097,0.0,1.0,0.0
1148074590,615208,39487,39748,0.0,1.0,0.0
1150984142,85176,48,9850,0.0,1.0,0.0
1146374396,1249428,23326,26355,0.0,1.0,0.0
1151305425,75172,29,1850,0.0,1.0,0.0
1146723383,0,0,2,0.0,0.0,0.0
1145255981,619340,52996,53424,0.0,1.0,0.0
1145991420,573372,32734,33531,0.0,0.0,0.0
1145179063,581224,23799,24644,0.0,1.0,0.0
1145723292,595780,24179,25246,0.0,1.0,0.0
1150441573,596192,22754,22941,0.0,0.0,0.0
1144522950,1259240,22720,42966,0.0,1.0,0.0
1150849980,601820,45054,46195,0.0,1.0,0.0
1149320949,608684,45695,47091,0.0,1.0,0.0
1151726795,74856,8,61,0.0,1.0,0.0
1140271492,278368,351,858,0.0,0.0,0.0
1149652105,63844,3,193,0.0,1.0,0.0
1151944640,600096,29938,30256,0.0,1.0,0.0
1152036951,74628,8,1852,0.0,1.0,0.0
1148014887,620216,30729,31419,0.0,1.0,0.0
1150479133,601768,29546,29831,0.0,0.0,0.0
1152143656,162632,46,955,0.0,1.0,0.0
1152991493,1628568,33363,37005,0.0,1.0,0.0
1145105140,575440,29904,31094,1.0,0.0,0.0
1149094161,581608,6817,6943,0.0,0.0,0.0
1152298196,1587752,26921,37002,0.0,1.0,0.0
1145883387,576100,29305,32306,0.0,0.0,0.0
1150810751,43908,3,3607,0.0,0.0,0.0
1147347285,580060,15841,16533,0.0,1.0,0.0
1147727003,20716,8,52,0.0,1.0,0.0
1153061618,602808,45125,45444,0.0,1.0,0.0
1152178738,25700,9,69,0.0,1.0,0.0
1153754213,601080,40190,42140,0.0,1.0,0.0
1151412545,587432,45487,46860,0.0,0.0,0.0
1152665133,1773180,36564,43294,0.0,1.0,0.0
1150497841,610272,42497,44176,0.0,1.0,0.0
1151492018,71616,9,962,0.0,1.0,0.0
1140069013,574424,22693,25044,1.0,0.0,0.0
1151753473,69328,8,66,0.0,1.0,0.0
1145511996,588376,62355,63376,0.0,0.0,0.0
1151717614,71276,9,65,0.0,1.0,0.0
1136297076,59660,8,1850,1.0,0.0,0.0
1150438773,587164,46608,48697,1.0,0.0,0.0
1147894432,110912,38,163,0.0,1.0,0.0
1151657327,76548,7,951,0.0,1.0,0.0
1153735877,71112,8,271,1.0,0.0,0.0
1151740485,20716,8,81,0.0,1.0,0.0
1147301377,589800,19045,19874,0.0,1.0,0.0
1145876436,582844,24674,26095,0.0,1.0,0.0
1148063663,20740,7,42,0.0,1.0,0.0
1140601629,567464,29380,30983,1.0,0.0,0.0
1151723231,76776,9,1850,0.0,1.0,0.0
1149277418,64644,31,1857,0.0,0.0,0.0
1151626091,68900,7,87,0.0,1.0,0.0
1145240954,600800,47984,48435,0.0,1.0,0.0
1152730414,598624,43707,44229,0.0,1.0,0.0
1139552424,575192,32473,40425,1.0,0.0,0.0
1144599346,570444,29022,29781,1.0,0.0,0.0
1139883890,578788,26656,27498,1.0,0.0,0.0
1147973675,0,0,2,0.0,0.0,0.0
1144418521,571100,27901,32059,0.0,0.0,0.0
1152839860,594372,38257,39051,0.0,1.0,0.0
1151444246,1569284,31466,34848,0.0,1.0,0.0
1145469919,599256,51213,51632,0.0,1.0,0.0
1151108169,60776,12,1854,1.0,0.0,0.0
1150814934,77612,19,1851,0.0,1.0,0.0
1152702222,601380,42321,42704,0.0,1.0,0.0
1153028413,77452,9,77,0.0,1.0,0.0
1150116582,491628,118,957,0.0,1.0,0.0
1145883755,585404,25297,27511,0.0,1.0,0.0
1151915593,60916,9,1853,0.0,0.0,0.0
1147715997,1552592,31125,35688,0.0,1.0,0.0
1154511626,1665384,25202,28241,0.0,1.0,0.0
1146412831,588148,1171,1479,0.0,1.0,0.0
1149657913,63848,3,190,0.0,1.0,0.0
1150607145,590464,34429,36070,0.0,1.0,0.0
1145484452,575768,26789,28293,0.0,0.0,0.0
1145104605,571312,30071,30848,1.0,0.0,0.0
1150128219,615488,42301,43932,0.0,1.0,0.0
1147342155,577864,17426,18324,0.0,0.0,0.0
1151694549,74976,8,85,0.0,1.0,0.0
1143753242,556292,10920,11199,1.0,0.0,0.0
