Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
81744,2,4,5601
16448,1,9,82
0,2,1,1
20252,0,10,63
591812,2,36642,37651
571164,1,33100,34213
614964,2,34729,34968
582380,0,7163,7291
616440,2,24930,25163
74812,2,8,266
72840,2,11,1853
612456,2,34939,35510
79292,2,10,177
25680,2,9,64
599048,2,38405,39464
572176,0,27551,29693
20304,0,8,57
584284,0,52136,53229
69908,2,8,274
25656,2,9,61
1194312,2,21498,30224
596512,2,41591,42992
77704,2,14,1851
20264,1,9,50
79304,2,8,78
63944,2,10,123
1593096,2,31979,36159
587100,1,50705,54431
285740,2,8540,20198
592964,2,36430,36971
597344,2,44987,46820
624860,2,36456,36852
597596,2,36925,37838
593464,2,34475,35226
930884,1,154,415
1549188,2,32214,36349
67248,1,10,440
551608,1,1791,2499
596568,2,24590,25394
581568,0,6747,6839
587344,0,68511,68847
74784,2,8,73
583132,2,20423,21496
601336,2,6049,6286
1531492,2,32094,37027
80272,2,8,238
614300,2,35006,35617
595196,2,31375,31875
72712,2,27,1847
614768,2,34873,35104
63872,2,4,197
572288,0,18735,19311
1757044,2,29253,32904
573104,1,43163,45648
1592400,0,40237,51312
587796,1,62021,62357
597440,2,41561,42776
25628,2,8,61
57612,1,49,75
585344,1,26819,27765
0,2,1,2
25656,2,9,52
576792,1,29921,33974
616436,2,32884,33107
64180,1,9,61
1371132,2,25434,27727
626268,2,17602,18076
0,1,1,2
61180,0,9,1852
555112,1,2650,3472
568728,1,34121,34676
1180376,1,26842,56985
617256,2,38495,38731
594892,2,30753,31100
79216,2,9,70
616580,2,19472,19966
594884,2,41512,41829
599908,2,39319,39606
593232,2,34665,35313
592980,2,41782,42303
598200,2,41725,42304
60308,1,9,251
64232,0,9,59
60772,0,9,1851
569812,1,18387,19899
585980,2,24547,26649
572512,1,20317,20957
0,2,0,2
598864,1,24368,24558
581928,2,20401,21952
594756,2,30008,30776
615400,2,23039,23242
599136,2,59127,59593
53556,2,3,3608
593572,2,30847,31142
25684,2,9,58
80260,2,9,245
36188,2,10,71
79340,2,9,62
72824,2,21,3681
594544,2,30522,31219
582036,1,44525,45701
61404,2,9,71
600032,2,40970,41283
110464,2,27,322
593528,2,14942,16679
596304,2,30978,31274
596772,2,32284,33191
82792,2,38,144
569752,1,27312,27935
612972,2,38989,39415
74328,2,7,258
937264,1,165,442
91552,2,18,2687
120348,2,26,805
25652,2,8,57
588096,2,1168,2572
616468,2,34579,34875
85648,2,9,59
20740,2,9,89
0,2,0,2
598392,2,39508,40844
552148,1,1481,3402
277236,0,341,897
618460,2,38836,39169
599548,2,42087,43025
0,2,1,2
601956,2,36433,36734
81696,2,15,2563
100040,2,17,224
598680,2,5877,6219
551124,1,1789,2435
74824,2,8,58
576660,0,27162,27804
568372,1,32531,33770
60764,1,8,1852
96900,2,48,12509
1536652,2,25745,28544
0,1,1,2
67264,1,10,1322
601656,2,57840,58296
20708,2,8,83
62076,0,32,1853
592332,2,42079,47022
588284,2,1343,1579
577848,0,28010,28690
596532,2,38854,39435
617484,2,39737,40037
597864,2,32605,33291
581776,1,50204,51383
72612,2,21,3683
568304,1,38608,39416
596304,2,40556,41142
580280,2,172807,173340
86952,2,9,958
604640,2,51831,52426
80852,2,18,963
65856,1,16,1141
63340,0,10,95
598676,2,27622,27900
25684,2,8,60
75284,2,8,61
76808,2,11,955
600300,2,42462,43855
598964,2,5723,5931
589576,0,64184,64671
0,2,1,2
603520,2,39899,41020
62868,1,8,63
593108,2,45382,45780
94572,2,22,246
70032,2,8,966
584852,0,47233,49977
588280,2,1233,1654
586232,2,22037,23418
1780236,2,29852,33796
0,2,0,2
0,1,1,2
1636748,2,33393,73348
633324,2,33581,33807
84764,2,20,244
599068,2,48373,48804
630884,0,1461,1783
74308,2,8,250
63848,2,4,195
610988,2,5221,5291
628724,2,23355,23629
1582716,2,26833,31929
570136,0,26831,28519
598920,2,5871,6075
580700,1,57283,58689
583300,2,21743,23566
582092,2,25272,27690
72696,2,16,1850
61392,0,9,83
85596,2,8,96
614008,2,24915,25180
61892,1,31,1854
25660,2,8,68
588124,2,1231,1506
616100,2,21543,22018
60812,0,9,1851
74624,2,8,74
587572,2,21286,25178
631704,0,1538,1829
571156,1,28423,29287
654576,1,52524,52953
0,1,1,2
616756,2,32383,33223
596484,2,32550,33035
581948,1,44619,45460
584400,2,14682,16094
618080,2,35984,36193
600708,2,31098,32706
59896,1,8,1850
613972,2,22605,22826
86984,2,46,6085
595196,2,37844,38190
581852,0,44165,45310
576044,1,27025,28055
63904,2,3,191
655440,2,46278,49028
571688,1,27292,27921
75280,2,8,1846
80244,2,8,239
594104,2,33290,33587
619004,2,25485,25915
619280,2,24106,24355
