SubmitTime,Used Memory,AverageCPUTimeUsed,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3,RunTime
1147974400,7452,1,0.0,1.0,0.0,1
1149121600,598720,5918,0.0,1.0,0.0,6159
1146414571,587940,1161,0.0,1.0,0.0,1699
1149487219,620244,26431,0.0,1.0,0.0,26921
1150735156,43916,3,1.0,0.0,0.0,3608
1150645997,598040,44089,0.0,1.0,0.0,45518
1150086821,72244,8,0.0,1.0,0.0,170
1139512370,568144,30277,1.0,0.0,0.0,31256
1149141893,1575248,31636,0.0,1.0,0.0,35932
1145585355,587780,56800,1.0,0.0,0.0,57230
1148959388,598792,5526,0.0,1.0,0.0,5765
1146423605,588116,1165,0.0,1.0,0.0,1447
1151916589,583812,39394,1.0,0.0,0.0,39848
1147987647,626492,35501,0.0,1.0,0.0,35726
1153060057,598672,42194,0.0,1.0,0.0,42488
1144962961,57120,10,1.0,0.0,0.0,1853
1151648904,20280,9,0.0,0.0,0.0,52
1147951356,0,0,0.0,1.0,0.0,2
1151739287,85608,8,0.0,1.0,0.0,65
1149398356,72788,26,0.0,1.0,0.0,1854
1153816284,603884,42608,0.0,1.0,0.0,43780
1152916634,596216,38615,0.0,1.0,0.0,39099
1151701258,61476,9,0.0,1.0,0.0,60
1145566831,605248,48650,0.0,1.0,0.0,49095
1145178763,596092,21396,0.0,1.0,0.0,22137
1146335470,1265120,23594,0.0,1.0,0.0,26700
1151735710,79296,8,0.0,1.0,0.0,57
1147432965,575976,172885,1.0,0.0,0.0,173107
1151916509,82136,8,0.0,1.0,0.0,951
1149447721,596936,40559,0.0,1.0,0.0,42292
1146446255,588280,1232,0.0,1.0,0.0,1618
1152568322,0,1,0.0,1.0,0.0,2
1146419543,588080,1178,0.0,1.0,0.0,2214
1145627162,583016,22534,0.0,1.0,0.0,24398
1148074966,581968,16352,0.0,1.0,0.0,18048
1136280131,57092,8,1.0,0.0,0.0,1852
1151310320,596596,2654,1.0,0.0,0.0,2757
1153741858,80240,8,0.0,1.0,0.0,436
1150793200,53628,3,0.0,1.0,0.0,3607
1150984150,1374008,22569,0.0,1.0,0.0,40497
1151918806,0,0,0.0,0.0,0.0,18124
1153224994,0,1,0.0,1.0,0.0,2
1139467555,555492,6666,1.0,0.0,0.0,7303
1151740836,74832,9,0.0,1.0,0.0,79
1156848173,94404,15,0.0,1.0,0.0,1905
1149708441,616576,24893,0.0,1.0,0.0,25109
1145634829,584348,29873,0.0,0.0,0.0,30547
1150468736,597604,26792,1.0,0.0,0.0,27265
1147715983,71060,15,1.0,0.0,0.0,1880
1154448591,1585016,28067,0.0,1.0,0.0,29987
1151623718,74836,8,0.0,1.0,0.0,80
1151642006,68940,9,0.0,1.0,0.0,66
1148113503,585208,14645,0.0,1.0,0.0,15286
1145994818,587816,27532,0.0,1.0,0.0,30131
1151302098,581356,43580,0.0,0.0,0.0,44364
1145656359,580976,25264,0.0,1.0,0.0,26081
1145104606,571236,24074,0.0,0.0,0.0,24855
1148338538,1331304,25349,0.0,1.0,0.0,28423
1149014251,300208,545,0.0,1.0,0.0,2022
1151118076,597656,39146,0.0,1.0,0.0,39498
1148646001,598964,6060,0.0,1.0,0.0,6273
1153074161,596888,36748,0.0,1.0,0.0,37128
1145177296,583032,23217,0.0,1.0,0.0,25153
1151815062,76556,7,0.0,1.0,0.0,954
1149392231,614272,17026,0.0,1.0,0.0,17581
1151401777,64760,13,0.0,0.0,0.0,202
1153060063,595580,40438,0.0,1.0,0.0,40756
1152143648,95656,13,0.0,1.0,0.0,158
1147677165,76576,9,0.0,1.0,0.0,1852
1145991420,573372,32734,0.0,0.0,0.0,33531
1148065579,100120,19,0.0,1.0,0.0,735
1151621103,20748,8,0.0,1.0,0.0,77
1151451841,594016,37139,0.0,0.0,0.0,37823
1152184750,593992,32081,0.0,1.0,0.0,32569
1136977574,649104,52144,0.0,0.0,0.0,52698
1147400293,571644,19893,0.0,0.0,0.0,20540
1152729864,614944,48305,0.0,0.0,0.0,48815
1145332039,599384,46017,0.0,1.0,0.0,46491
1152105587,84244,11,0.0,1.0,0.0,97
1146182120,64864,16,0.0,0.0,0.0,3680
1146412430,598240,1183,0.0,1.0,0.0,1561
1145872267,595576,24291,0.0,1.0,0.0,25316
1152689107,595196,37844,0.0,1.0,0.0,38190
1152840572,598792,42687,0.0,1.0,0.0,43137
1150128239,602832,43260,0.0,1.0,0.0,44396
1139456565,552168,1790,1.0,0.0,0.0,2550
1139402630,551700,1504,1.0,0.0,0.0,2170
1151648857,85132,9,0.0,1.0,0.0,55
1151722456,79232,8,0.0,1.0,0.0,65
1149394993,616032,20732,0.0,1.0,0.0,21225
1153730295,80200,8,0.0,1.0,0.0,430
1146446895,588064,1258,0.0,1.0,0.0,1612
1153754751,596724,37270,0.0,1.0,0.0,39021
1139336285,551952,1467,1.0,0.0,0.0,3122
1152862301,595580,41799,0.0,1.0,0.0,42203
1146447792,588304,1233,0.0,1.0,0.0,1500
1151746317,79220,8,0.0,1.0,0.0,69
1148859034,598920,5919,0.0,1.0,0.0,6485
1146182846,62220,22,1.0,0.0,0.0,3684
1151576596,599912,38796,0.0,1.0,0.0,39486
1152910421,602352,35960,0.0,1.0,0.0,36450
1148228106,81680,4,0.0,1.0,0.0,5600
1146665940,576540,24864,1.0,0.0,0.0,25907
1150042685,72188,8,0.0,1.0,0.0,141
1151713179,64204,9,1.0,0.0,0.0,77
1150473511,437620,158,0.0,0.0,0.0,209
1149351103,598264,42166,0.0,1.0,0.0,43066
1144598340,591108,30131,1.0,0.0,0.0,31547
1153747015,80220,8,0.0,1.0,0.0,248
1145253852,603252,55901,0.0,1.0,0.0,56378
1147389932,569424,15703,1.0,0.0,0.0,16527
1153058472,596520,172913,0.0,1.0,0.0,173310
1153724749,80292,7,0.0,1.0,0.0,243
1149574405,581964,38259,1.0,0.0,0.0,38922
1151432715,82068,9,0.0,1.0,0.0,966
1151856497,71600,8,0.0,1.0,0.0,1854
1151645771,79244,9,0.0,1.0,0.0,59
1151556813,595204,33611,0.0,1.0,0.0,34252
1142819210,583256,39642,1.0,0.0,0.0,43286
