SubmitTime,Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
1141104732,572128,1,42904,45430
1149938653,587988,1,51673,58816
1145592683,604128,2,52914,53385
1150793198,53592,2,3,3606
1150042714,72224,2,8,167
1149621211,583644,1,37829,38508
1149574092,647084,2,31055,31796
1136478088,305532,1,69,3389
1147347262,569192,1,17036,18023
1150849641,1596136,2,31463,67872
1136294463,57132,1,8,1854
1153232308,596840,2,38874,39545
1145178063,571124,1,27292,28425
1153147071,81452,2,13,3274
1147399534,585372,2,17169,18924
1151712843,20340,1,9,64
1144418969,569816,1,28923,31918
1146448283,588360,2,1233,1650
1139931807,568608,1,25615,26249
1145177290,580280,2,24854,25613
1151609614,25704,2,8,74
1150734712,43900,1,3,3610
1149607567,602492,2,35177,37579
1147696459,580340,1,44593,45647
1145471142,591684,1,56917,57298
1150967263,0,2,0,2
1150096384,72240,2,8,168
1149847843,614412,2,23088,23368
1145105026,571184,0,28251,29229
1145937028,600036,2,79811,80012
1147411938,76532,2,8,1852
1136977647,0,0,1,2
1149508595,580600,0,34063,36173
1153032286,605824,2,45139,45463
1150066392,72212,2,7,169
1150793198,53548,2,3,3607
1151659234,596232,2,36805,37701
1148318625,1746904,2,20605,30196
1153726903,25676,2,8,55
1140689387,578956,1,34192,48176
1153745308,80248,2,8,444
1145348300,0,2,3,7
1151651652,20292,1,9,57
1150941224,0,2,0,2
1149484412,616080,2,22975,23488
1145911704,79256,2,9,64
1146448260,588036,2,1224,1565
1146558617,1420360,2,27345,29660
1153037238,86948,2,9,85
1153721768,71128,0,9,243
1149515244,610796,2,4513,4596
1153059534,598008,2,40962,41402
1151910536,71832,2,10,1852
1147984241,0,2,0,1
1148650728,598680,2,5801,6079
1153813853,591824,2,41438,42385
1152035364,598832,2,42075,42582
1148884662,598856,2,5911,6151
1136284894,57132,1,8,1850
1146723803,573284,0,26871,28049
1150815791,70164,0,15,966
1145334495,585752,1,63324,63786
1150946607,43256,2,0,2
1152796290,593576,2,42672,43011
1149488403,84656,2,44,170
1137410408,65968,0,12,1674
1148230880,582948,2,18747,19781
1148078424,74864,2,9,1853
1150473511,437620,0,158,209
1146045658,76688,2,9,1846
1151742980,75264,2,8,83
1154331722,581484,0,37944,38127
1147973677,0,2,1,1
1147422930,62184,0,10,1852
1153749999,20316,1,10,57
1149796344,613036,2,19935,20121
1145335990,584536,1,54873,55199
1136478087,935956,1,219,471
1148683881,598820,2,6444,6644
1149890169,596428,2,43562,48154
1151916019,60796,0,9,965
1145890348,584028,2,26288,29397
1152919840,603724,2,41202,41533
1153813255,596116,2,39605,41155
1153061568,609992,2,42442,42725
1151421202,594980,2,32628,33072
1151659226,595920,2,33185,34033
1151656500,81948,2,9,974
1149487522,0,2,1,1
1146450721,588048,2,1220,1550
1153735885,80292,2,9,432
1145261418,602976,2,51164,51628
1150967233,0,0,0,2
1144522716,587732,2,27502,30806
1146377634,0,2,0,2
1145908460,75288,2,9,957
1137406232,663064,0,52129,52973
1151609606,74848,2,8,71
1147297539,578928,0,23415,26842
1148640823,598904,2,5816,6038
1153729154,80176,2,8,433
1146445271,588096,2,1203,1471
1151914046,71888,2,7,408
1147885985,181200,0,51,179
1151309965,576100,1,11649,11887
1152299702,1566324,2,26309,31503
1149886886,584620,1,43744,46090
1148683620,598780,2,5816,6048
1151698306,20748,2,8,88
1141816331,0,1,1,2
1148884545,598828,2,5789,6005
1151617782,594816,2,32183,32543
1149885211,598704,2,45089,47777
1139347473,555016,1,2553,3336
1148645898,598184,2,5875,6113
1149662818,63900,2,4,190
1149886883,581756,1,48833,52661
1147885853,90132,2,39,167
1146374391,0,2,3,12
1151738929,25664,2,9,58
1146447192,588088,2,1235,1606
1150982988,1596668,2,32246,36831
1145484488,584620,2,25791,26565
1147352576,610108,2,16045,17193
1148547285,81636,2,6,5600
1142751653,573820,1,32038,33125
1149912913,604456,2,43144,50330
1152378345,593716,2,32514,32792
1145476471,584092,1,79944,80019
1151726322,82292,2,9,956
1153983809,588248,2,15962,16179
1154419607,1385020,2,22281,27216
1154523053,64580,2,8,166
1151614549,68880,2,7,52
1146195813,603916,2,23392,27716
1147389932,569424,1,15703,16527
1151725589,25688,2,9,57
1149509255,0,2,0,2
1146445273,588080,2,1228,1510
1153908953,598864,2,38387,39119
1152455671,0,2,1,1
1148645700,598848,2,5888,6093
1145229412,598136,0,62554,62881
1153107865,615864,2,39330,39825
1136324478,940360,1,209,478
1144825739,300244,2,492,4120
1151749502,25652,2,8,69
1148549941,619196,2,34108,35893
1149448597,592632,2,40750,42259
1148060273,85148,2,9,95
1151707669,113836,2,27,380
1151413328,592032,0,37620,38420
1150849351,1180204,2,21119,47667
1151733825,79272,2,9,55
1144602079,573004,1,26839,28025
1153744701,74780,2,8,55
1146425025,587088,2,1174,1410
1149132290,89408,0,53,180
1149320958,81720,2,16,3332
1139875954,567748,1,24800,25670
1149605836,56344,1,4,192
1140995619,568816,1,28552,29067
1145393984,582320,2,21886,23470
1152298795,1594368,2,31889,35236
1146193314,597864,2,28314,28583
1151730420,25684,2,9,67
1153748520,74852,2,8,245
1146445581,588292,2,1246,1732
1145656357,579996,2,21388,22619
1150983845,75120,2,19,1529
1149987118,592248,2,42092,43968
1153737973,71104,1,8,85
1146335470,1265120,2,23594,26700
1152637500,1629036,2,23649,26686
1145878337,583944,2,25600,27510
1139457110,552204,1,1780,2384
1151730019,79288,2,9,84
1151580149,68944,2,8,78
1147967093,1554344,2,31773,36278
1153059078,598952,2,40400,40758
1152733619,612064,2,40779,41188
1150735156,43916,1,3,3608
1139336285,551952,1,1467,3122
1145940194,1390440,2,27123,29044
1149843761,614608,2,23983,24501
1147421967,69032,0,9,965
1151734240,68888,2,9,58
1151740093,64188,1,9,58
1150042687,72224,2,8,166
1150922219,0,2,1,2
1148835708,598196,2,5837,6037
1151650477,20268,1,9,46
1153186430,76556,2,9,1846
1150565231,597376,2,41196,42900
1150478821,598500,1,29785,30255
1144505463,599704,0,28968,31696
1140649694,579956,1,33168,34310
1142817650,572812,1,29038,31978
1147984564,0,2,0,1
1149329058,598944,2,40428,41303
1147347285,587028,2,17780,18998
1145338710,0,2,3,7
1152039530,606444,2,43464,44016
1150005062,585540,1,53414,56928
1147675025,596708,2,36715,38050
1148953685,1100732,2,361,387
1146731853,69828,0,27,4181
1151752056,25692,2,8,60
1145540221,1417932,2,28077,30549
1149699665,593540,2,35220,35931
1152034708,66008,2,9,84
1150128237,608084,2,41870,43225
1152171723,95856,2,13,599
1148408241,596052,2,22468,24003
1153222143,0,2,1,2
1152838710,594236,2,43547,44033
1147676059,60412,0,8,169
1151628924,67696,2,7,67
1151712138,74860,2,8,83
1151712568,25652,2,8,66
1141715519,578832,1,44772,47661
1136493180,978616,1,885,1219
1147888890,82716,2,22,4979
1148225210,615444,2,32957,33195
1147269011,577996,1,27052,31214
1146581906,570720,1,29223,38144
1151657334,20332,0,8,51
1148683638,598380,2,5801,6040
1149663193,1185404,2,22271,38640
1149424976,1190088,2,21384,25486
1153017629,68228,2,9,79
1144597960,61940,0,12,1852
1139665343,571432,1,35382,36715
1151735360,25680,2,7,62
1152575725,0,2,1,2
1153726898,67280,0,8,247
1151646841,71012,0,8,52
1139933492,566436,1,21803,22316
1149937132,0,1,1,1
1146449401,588060,2,1229,1554
1149871886,1611120,2,32348,47705
1150967702,0,0,0,1
1150122324,615148,2,22823,23043
1145372095,587216,0,62485,62816
1145519200,589200,2,20119,22180
1144598338,61980,1,16,1851
1151661084,116596,2,19,3883
1146448658,588272,2,1234,1928
1145232923,585060,0,64691,65017
1151405125,63444,1,9,1853
1153735372,74800,2,8,243
1145253546,601204,2,47306,47751
1146202437,597612,2,21609,21834
1150969824,1528948,2,26036,29316
1150969228,62032,0,25,2419
1139409190,551568,1,1447,2089
1151621122,64368,2,9,82
1150812084,53592,2,3,3606
1153727378,1596036,0,39819,66466
1151650115,20296,1,9,61
1150942964,0,2,0,2
1152089278,593380,2,32176,32715
1150814744,75400,2,20,1851
1146417144,591160,2,1179,1973
1151735716,25656,2,9,62
1153734776,80204,2,8,249
1146723592,68648,1,13,2200
1151309939,584892,1,37769,38013
1146667893,73580,0,48,6775
1151791584,74320,2,8,81
1153731378,59040,1,10,238
1153733638,69904,2,9,248
1146666591,570760,0,24900,26335
1149378114,624816,2,21110,21535
1151712873,79260,2,8,76
1137406892,649832,0,53207,54052
1150983112,1553524,2,31434,37193
1152344979,87632,2,32,8314
1149851347,0,2,0,2
1151698670,69596,2,8,60
1149959209,655968,2,43808,50861
1149959189,597728,2,45468,52386
1149077580,582248,0,6779,6974
1146444157,588100,2,1220,1491
1150970750,603852,1,45905,46713
1151570030,601532,2,38142,38812
1141502379,0,1,1,1
1153224573,598628,2,40613,40955
1154330104,574924,0,172853,172992
1147437963,64232,0,8,64
1151649706,61608,2,8,50
1150734714,43880,1,4,3607
1146449857,588120,2,1273,1603
1147298559,572312,0,23799,25045
1151697201,53348,0,10,76
1151651208,25656,2,9,52
1151710997,85208,2,9,71
1151645771,79244,2,9,59
1151721313,74876,2,9,66
1151655230,20272,1,9,52
1153729164,25688,2,8,59
1148063668,98432,2,46,9045
1151740115,25656,2,9,78
1152008599,594556,2,35366,35903
1146668643,572088,1,27005,29292
1149890278,592596,2,36749,39209
1153736845,80268,2,8,248
1148061942,100476,2,46,10122
1147350591,20728,2,7,98
1147347260,20288,1,9,65
1147469455,589020,1,45399,46620
1150488335,1650580,2,33979,73638
1137049566,630724,0,1413,1715
1151648863,64208,1,10,53
1150823516,593092,2,46504,51944
1151697827,100732,2,17,1173
1153233877,0,2,1,2
1151310317,0,0,0,28
1146666606,577280,1,26878,28676
1153744033,80232,2,8,250
1148940346,598940,2,5592,5847
1147441981,56048,0,9,62
1149836044,634528,2,29793,31184
1151457505,64192,0,9,64
1154445314,1575868,2,26977,28636
1145634827,577648,0,25677,26354
1152184384,593460,2,30215,30540
1151722456,79232,2,8,65
1147594833,580596,0,43259,44433
1154354264,592100,2,32643,33050
1151730794,79244,2,9,64
1152541040,75600,2,13,166
1150469693,579428,1,44527,52060
1152566393,0,2,1,2
1146434830,163272,2,46,1030
1149571720,613684,2,22109,22555
1151044240,602908,2,36570,37076
1147675331,592988,2,37298,38661
1140635013,571672,1,28857,40485
1147371704,581296,2,14923,16024
1150116579,598384,2,45473,46711
1150495182,0,1,1,2
1147974400,7452,2,1,1
1150984160,595316,2,40351,41374
1150795054,53560,2,3,3609
1154047594,600108,2,40859,41672
1147952887,587792,2,15833,16467
1146448691,588140,2,1236,1509
1152341298,597892,2,41628,42056
1150469667,584188,0,47766,54645
1149650414,63844,2,3,191
1151624559,68920,2,8,78
1149655392,63856,2,3,192
1153812715,598716,2,43201,44915
1149327923,595876,2,37444,39263
1152737444,602748,2,43685,44147
1144962961,57120,1,10,1853
1153230122,0,2,1,2
1147329015,572244,0,19312,20221
1152298801,1608180,2,27440,29475
1147954481,583564,2,17346,18301
1151753128,25672,2,9,71
1153724752,59044,0,9,242
1148338547,1338352,2,25410,28623
1146412691,588024,2,1162,1509
1152689107,595196,2,37844,38190
1154030463,597132,2,42859,43157
1139930963,568460,1,23836,24391
1153754503,584936,1,47095,48526
1149299225,126048,2,33,2327
1153036750,597104,2,43144,43446
1140043362,568204,1,22847,30781
1150107097,583004,1,51697,52651
1145244973,599056,2,47051,47533
1144416982,592036,2,26939,30078
1150815797,589604,0,51110,58059
1144600005,573892,1,28997,29957
1149090001,1100860,2,968,1008
1149321316,75488,2,18,1851
1148683603,598884,2,5776,5991
1148884666,599020,2,5691,5927
1147951375,0,2,0,2
1147498344,580212,1,44799,46560
1151791884,79316,2,9,86
1146723584,69716,1,15,2517
1147510133,584300,1,46967,48356
1149016140,1745140,2,20583,30892
1151086804,60792,1,9,1852
1141949059,569820,1,31988,32740
1154527757,1588688,2,32160,35089
1150098230,90344,1,36,39144
1145476776,583592,1,57059,57640
1152105075,71660,2,8,954
1145566831,601656,2,57840,58296
1152958399,599888,2,40948,41661
1150822255,597792,2,39679,46516
1151702975,30652,2,10,75
1149518750,594128,2,32086,32856
1151628619,79340,2,9,60
1140876890,570832,1,28065,28634
1152179939,25692,2,8,55
1151744005,25660,2,8,62
1146509520,72944,2,8,1929
1145875482,597604,2,26455,27722
1145178522,583344,2,24718,26824
1153007227,605332,2,40323,40657
1145372085,585396,0,61214,61611
1151748171,57764,2,8,61
1148953012,598888,2,5897,6115
1149487219,620244,2,26431,26921
1153728609,69864,2,7,243
1148683624,598868,2,6049,6232
1156848173,94404,2,15,1905
1145981762,577044,1,26152,27202
1153722913,74800,2,8,241
1149710078,110804,2,44,169
1136977574,649104,0,52144,52698
1145722699,589140,2,25394,26277
1151702972,79296,2,9,56
1148893413,599108,2,6207,6474
1152174873,71604,2,9,1850
1141540770,174620,1,51,79
1150439714,617512,2,26862,27130
1145247380,605540,2,57434,57979
1152143296,150412,2,30,424
1142751653,574780,1,35435,36498
1153721179,79228,2,8,48
1149673469,640880,2,24738,25144
1136878500,655772,0,55299,56305
1151265959,62012,1,33,1849
1147371694,83264,2,8,72
1151458502,64232,1,9,55
1146427763,588288,2,1157,1371
1148232226,81720,2,4,5599
1147268993,578860,0,24362,27457
1149545558,110928,2,44,183
1151457874,580516,1,35024,35513
1145719776,1425396,2,27565,29942
1145104606,571236,0,24074,24855
1152917171,602144,2,38140,38458
1149959294,616308,2,47720,51822
1140068947,568820,1,21865,24294
1153750822,80264,2,8,442
1152145570,618180,2,32682,33217
1150479307,599024,1,29360,29853
1151410762,582760,1,45503,46144
1151856504,76588,2,9,1851
1149796066,614980,2,25043,25254
1151910839,75464,2,8,1852
1148650853,598892,2,5931,6174
1152002986,620480,2,30564,31215
1153030754,599812,2,42154,42449
1151488379,595236,2,32258,32751
1140601061,570180,1,34973,47577
1151733393,25672,2,8,56
1148651183,598228,2,5727,6112
1149331729,74956,2,18,1306
1146723796,571336,0,28213,29958
