SubmitTime,WaitTime,RunTime,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID
1136277777,1,1854,1,9,59852,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277778,0,1854,1,8,59876,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277780,0,1852,1,8,59952,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277780,0,398,1,165,918888,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278069,1,431,1,206,951192,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278069,1,466,1,241,955900,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278069,1,1850,1,8,59880,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278071,109,496,1,263,955780,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278072,165,1847,1,8,57168,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278079,424,1852,1,9,57156,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278079,459,1851,1,8,57108,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278079,547,1849,1,8,57052,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278585,43,1850,1,9,59888,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278585,44,404,1,196,956724,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278585,47,1851,1,10,57160,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278587,91,1852,1,9,57152,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278587,265,1849,1,8,57148,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136278924,1,1850,1,9,59884,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
